CustomerID,Age,Gender,Country,TenureMonths,MonthlySpend,SupportTickets,ContractType,PaymentMethod,Churn
1000,56,M,UK,52.0,46.64,1.0,Monthly,,No
1001,,Female,india,53.0,89.57,2.0,,PayPal,No
1002,19,Male,,24.0,65.92,1.0,monthly,Credit Card,Yes
1003,29,M,india,58.0,96.28,2.0,,Credit Card,No
1004,59,M,india,28.0,86.66,4.0,Monthly,PayPal,Yes
1005,26,M,UK,39.0,56.96,0.0,Monthly,,Yes
1006,42,F,Australia,14.0,61.99,0.0,monthly,Credit Card,Yes
1007,37,F,Canada,28.0,108.42,1.0,Yearly,,No
1008,25,F,UK,47.0,68.41,2.0,,crypto,No
1009,59,Female,india,4.0,45.24,3.0,Yearly,,No
1010,53,,Australia,14.0,52.78,,Monthly,,No
1011,41,M,Australia,26.0,2657.0,3.0,,Credit Card,No
1012,62,Female,UK,1.0,78.69,1.0,Monthly,,No
1013,28,M,,51.0,71.74,3.0,Monthly,Credit Card,No
1014,56,,,58.0,34.76,0.0,,,No
1015,40,,Usa,24.0,112.99,2.0,,,No
1016,52,M,USA,1.0,89.81,3.0,Monthly,PayPal,Yes
1017,44,Male,india,9.0,77.57,1.0,,,No
1018,30,F,UK,51.0,82.61,3.0,Monthly,,Yes
1019,62,Male,UK,15.0,71.03,2.0,,PayPal,Yes
1020,68,,USA,22.0,88.79,1.0,Yearly,PayPal,No
1021,45,F,USA,28.0,3698.0,1.0,,Bank Transfer,No
1022,28,,Usa,58.0,70.17,3.0,,,Yes
1023,30,,Australia,41.0,54.15,1.0,Monthly,PayPal,Yes
1024,44,Female,Australia,9.0,138.35,1.0,,Credit Card,No
1025,49,M,Canada,32.0,75.4,2.0,monthly,crypto,No
1026,69,Male,Australia,12.0,79.44,1.0,,Bank Transfer,Yes
1027,34,Female,Canada,59.0,29.79,2.0,,Credit Card,No
1028,54,Female,Canada,32.0,74.23,1.0,,PayPal,No
1029,49,M,india,6.0,89.05,2.0,,Bank Transfer,Yes
1030,,,Canada,38.0,122.08,2.0,Monthly,Credit Card,Yes
1031,50,,india,9.0,37.94,1.0,Monthly,Bank Transfer,Yes
1032,46,M,,3.0,131.2,0.0,Yearly,PayPal,Yes
1033,20,,Canada,19.0,106.21,1.0,Yearly,Bank Transfer,Yes
1034,58,Male,,33.0,92.84,3.0,Yearly,PayPal,Yes
1035,48,M,,30.0,5.91,2.0,,Bank Transfer,Yes
1036,65,Female,india,57.0,28.68,4.0,monthly,crypto,Yes
1037,58,M,USA,35.0,4910.0,7.0,Yearly,Bank Transfer,No
1038,57,M,india,20.0,24.51,3.0,monthly,,No
1039,19,,UK,54.0,115.06,2.0,Yearly,,No
1040,21,M,Canada,33.0,40.1,3.0,,crypto,Yes
1041,65,,UK,12.0,79.24,2.0,Monthly,PayPal,No
1042,47,Male,USA,38.0,79.66,3.0,,,Yes
1043,64,F,UK,33.0,92.4,2.0,Monthly,crypto,Yes
1044,52,,Australia,49.0,26.5,4.0,,,No
1045,48,,,35.0,72.71,1.0,Yearly,,No
1046,38,,Canada,32.0,66.6,1.0,Monthly,,No
